trial,wait,respkey,RT,word/pseudo,where
0,1916,32,1957,PSEUDO,before UP
1,1952,32,1372,PSEUDO,before UP
2,1990,32,1326,WORD,after UP
3,1212,32,1280,PSEUDO,before UP
4,1639,32,986,WORD,before UP
5,1169,32,1038,WORD,after UP
6,1883,32,1223,PSEUDO,before UP
7,1856,32,1156,PSEUDO,after UP
8,1108,32,1413,WORD,before UP
9,1605,32,1380,PSEUDO,before UP
10,1586,32,1463,PSEUDO,after UP
11,1161,32,1072,PSEUDO,before UP
12,1653,32,1116,WORD,before UP
13,1201,32,1573,PSEUDO,before UP
14,1784,32,1112,WORD,before UP
15,1438,32,1818,PSEUDO,after UP
16,1585,32,1253,WORD,before UP
17,1533,32,1171,WORD,before UP
18,1625,32,1503,PSEUDO,before UP
19,1851,32,1401,PSEUDO,before UP
